,N/A (GQ),,,,Mobile Home or Trailer,,,,One-family house detached,,,,One-family house attached,,,,2 Apartments,,,,3-4 Apartments,,,,5-9 Apartments,,,,10-19 Apartments,,,,20-49 Apartments,,,,50 or More Apartments,,,,"Boat, RV, van, etc.",,,
,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,
Selected Geographies,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent
"Boston City--Hyde Park, Jamaica Plain, Roslindale & West Roxbury PUMA; Massachusetts",0,0,0,0,0,181,0,0,12206,5468,737,165,825,263,2193,118,4149,1172,3513,246,2338,467,7149,230,782,205,3374,0,277,260,1217,0,909,174,934,0,435,900,2691,26,0,0,0,0
"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA; Massachusetts",0,0,0,0,0,0,0,0,5497,2906,1130,0,1057,311,1045,0,3776,1136,3489,332,1341,129,6487,0,258,0,1341,0,324,68,2182,58,1561,274,1156,0,493,560,6328,77,0,0,0,0
"Middlesex (Southeast) & Norfolk (Northeast) Counties--Newton City & Brookline Town PUMA, Massachusetts",0,0,0,0,0,0,0,0,12848,8371,994,335,1551,752,1536,0,1490,1469,4593,299,1214,1358,2285,106,1020,722,2630,130,148,245,1473,0,204,560,2537,0,308,1294,6221,0,0,0,0,0
"Norfolk (Northeast) & Middlesex (Southeast) Counties (West of Boston City) PUMA, Massachusetts",0,0,0,0,0,0,0,0,21325,9839,790,384,626,1086,133,75,707,84,374,0,0,148,226,0,0,0,482,0,0,142,403,0,227,117,307,0,67,605,1925,117,0,0,0,0
"Norfolk County (Southwest)--Greater Franklin Town City PUMA, Massachusetts",0,0,0,0,57,0,311,0,24958,10043,954,689,2219,1201,63,145,485,268,402,0,520,84,1373,56,1022,83,1461,0,243,0,1038,0,0,189,429,190,0,0,1460,0,0,0,0,0
"Norfolk County (Central)--Randolph, Norwood, Dedham, Canton & Holbrook Towns PUMA; Massachusetts",0,0,0,0,94,0,376,0,20194,8918,2558,457,849,68,1670,131,1102,250,1609,0,153,90,2440,0,298,197,2042,0,466,0,3086,70,127,146,1255,0,456,0,1387,0,0,0,0,0
"Norfolk County (Northeast)--Quincy City & Milton Town PUMA, Massachusetts",0,0,0,0,0,0,0,0,13125,5554,1372,377,1012,828,519,0,1289,826,3451,670,374,42,3053,0,69,110,2791,0,172,229,2771,0,382,190,1978,0,1725,777,7811,0,0,0,0,0
"Weymouth Town, Braintree Town Cities, Hingham, Hull & Cohasset Towns PUMA; Massachusetts",0,0,0,0,66,50,0,0,24943,8174,1711,496,1188,1162,716,0,689,451,1045,55,158,626,1836,0,312,568,1548,0,316,381,1959,0,887,78,2263,0,1565,652,2975,90,0,0,0,0
"Plymouth & Norfolk Counties--Brockton City, Stoughton & Avon Towns PUMA; Massachusetts",0,0,0,0,0,0,0,0,20768,6864,1658,67,475,294,938,0,1677,79,1848,205,413,311,6289,0,312,0,2415,0,645,90,2138,0,0,111,703,0,124,0,2394,0,0,0,0,0
"Attleboro City, North Attleborough, Swansea, Seekonk, Rehoboth & Plainville Towns PUMA; Massachusetts",0,0,0,0,362,650,543,0,23165,10362,1888,614,1481,389,889,0,240,153,1135,0,788,651,2742,45,127,0,1588,108,0,103,1111,0,87,0,488,0,133,0,1250,0,0,0,0,0
"Bristol (Outside New Bedford City) & Plymouth (South) Counties PUMA, Massachusetts",0,0,0,0,509,641,318,0,21596,9676,2283,699,1064,0,161,0,268,228,1053,0,0,0,1232,0,0,0,1421,0,0,0,767,50,0,0,849,0,0,0,150,0,0,0,0,0
"Bristol County (Central)--Fall River City & Somerset Town PUMA, Massachusetts",0,0,0,0,0,0,0,186,7726,6074,1004,88,404,0,270,0,1747,514,2486,0,2260,745,11594,63,0,259,6112,0,80,89,1503,0,124,0,1461,0,0,48,2744,0,0,0,0,0
"Bristol County--Taunton City, Mansfield, Norton, Raynam, Dighton & Berkley Towns PUMA; Massachusetts",0,0,0,0,110,476,118,78,22180,8035,531,884,2078,860,285,0,1320,372,2658,0,902,234,4468,0,824,192,2774,0,0,0,966,0,0,64,600,0,96,71,1096,0,0,0,0,0
"Bristol County (South)--New Bedford City & Fairhaven Town PUMA, Massachusetts",0,0,0,0,0,0,111,0,12629,4584,780,546,345,0,693,0,2369,1071,6621,71,481,1197,10021,48,0,79,2826,229,40,226,1350,0,0,98,1095,0,0,48,2922,0,0,0,0,0
"Barnstable County (West)--Inner Cape Cod Towns & Barnstable Town City PUMA, Massachusetts",0,0,0,0,214,123,0,0,29825,15914,4098,110,1208,1224,1093,481,163,47,357,0,228,217,1850,0,290,107,1106,0,164,0,449,0,96,247,551,0,0,61,1490,0,0,0,0,0
"Barnstable (East), Dukes & Nantucket Counties--Outer Cape Cod Towns PUMA; Massachusetts",0,0,0,0,220,78,51,0,23873,17039,3901,531,790,1380,607,153,941,120,1499,54,115,226,1165,0,286,41,758,95,569,0,212,0,69,269,859,0,57,44,573,0,0,0,0,0
"Plymouth & Bristol Counties (Outside Brockton City) PUMA, Massachusetts",0,0,0,0,82,466,98,0,20673,8663,550,74,3182,578,548,0,614,109,1295,0,585,0,1548,110,433,0,1025,0,403,318,1026,0,0,157,430,0,0,0,1290,0,0,48,0,0
"Plymouth County (Central) PUMA, Massachusetts",0,0,0,0,400,1871,0,118,24000,9549,850,347,1726,447,49,112,458,151,764,0,116,97,922,0,93,70,385,0,0,0,362,0,0,57,630,0,0,0,38,0,0,0,0,0
"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA; Massachusetts",0,0,0,0,0,674,0,0,27752,11785,1805,246,1135,1534,668,0,640,496,638,0,309,122,1841,0,137,284,1057,0,318,225,795,0,153,0,682,0,188,154,1739,0,0,0,0,0
